sample.ID \\ Descriptors	SRA.ID.s.	label	genotype
delta_CNAG_04908_TDY1113_rep1	SRR33678860	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep2	SRR33678861	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep3	SRR33678862	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep4	SRR33679036	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_05222_TDY1118_rep1	SRR33678675	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_05222_TDY1118_rep2	SRR33678676	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_05222_TDY1118_rep3	SRR33678677	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_04864_TDY1145_rep1	SRR33678867	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep2	SRR33678868	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep3	SRR33678869	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep4	SRR33678870	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep5	SRR33678871	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep6	SRR33678872	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep7	SRR33678873	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep8	SRR33678874	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep9	SRR33678875	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_00871_TDY1174_rep1	SRR33678584	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_00871_TDY1174_rep2	SRR33678585	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_00871_TDY1174_rep3	SRR33678955	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_06276_TDY1178_rep1	SRR33679004	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_06276_TDY1178_rep2	SRR33679005	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_06276_TDY1178_rep3	SRR33679006	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_06276_TDY1178_rep4	SRR33679007	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_01626_TDY1182_rep1	SRR33678758	delta_CNAG_01626_TDY1182	delta CNAG_01626
delta_CNAG_01626_TDY1182_rep2	SRR33678759	delta_CNAG_01626_TDY1182	delta CNAG_01626
delta_CNAG_01626_TDY1182_rep3	SRR33678760	delta_CNAG_01626_TDY1182	delta CNAG_01626
delta_CNAG_04093_TDY1186_rep1	SRR33678700	delta_CNAG_04093_TDY1186	delta CNAG_04093
delta_CNAG_04093_TDY1186_rep2	SRR33678701	delta_CNAG_04093_TDY1186	delta CNAG_04093
delta_CNAG_04093_TDY1186_rep3	SRR33678702	delta_CNAG_04093_TDY1186	delta CNAG_04093
delta_CNAG_04093_TDY1186_rep4	SRR33678703	delta_CNAG_04093_TDY1186	delta CNAG_04093
delta_CNAG_04093_TDY1186_rep5	SRR33678704	delta_CNAG_04093_TDY1186	delta CNAG_04093
delta_CNAG_01551_TDY1194_rep1	SRR33678761	delta_CNAG_01551_TDY1194	delta CNAG_01551
delta_CNAG_01551_TDY1194_rep2	SRR33678762	delta_CNAG_01551_TDY1194	delta CNAG_01551
delta_CNAG_01551_TDY1194_rep3	SRR33678763	delta_CNAG_01551_TDY1194	delta CNAG_01551
delta_CNAG_01551_TDY1194_rep4	SRR33679101	delta_CNAG_01551_TDY1194	delta CNAG_01551
delta_CNAG_03902_TDY1198_rep1	SRR33679056	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_03902_TDY1198_rep2	SRR33679057	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_03902_TDY1198_rep3	SRR33679058	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_03902_TDY1198_rep4	SRR33679059	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_03902_TDY1198_rep5	SRR33679060	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_03902_TDY1198_rep6	SRR33679061	delta_CNAG_03902_TDY1198	delta CNAG_03902
delta_CNAG_04345_TDY1202_rep1	SRR33678521	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_04345_TDY1202_rep2	SRR33678522	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_04345_TDY1202_rep3	SRR33678523	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_04345_TDY1202_rep4	SRR33678524	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_04345_TDY1202_rep5	SRR33678525	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_04345_TDY1202_rep6	SRR33678526	delta_CNAG_04345_TDY1202	delta CNAG_04345
delta_CNAG_05431_TDY1208_rep7	SRR33678844	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep8	SRR33678845	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep9	SRR33678846	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep10	SRR33678847	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep11	SRR33678848	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep12	SRR33678849	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_05431_TDY1208_rep13	SRR33678850	delta_CNAG_05431_TDY1208	delta CNAG_05431
delta_CNAG_00883_TDY1279_rep1	SRR33678952	delta_CNAG_00883_TDY1279	delta CNAG_00883
delta_CNAG_00883_TDY1279_rep2	SRR33678953	delta_CNAG_00883_TDY1279	delta CNAG_00883
delta_CNAG_00883_TDY1279_rep3	SRR33678954	delta_CNAG_00883_TDY1279	delta CNAG_00883
delta_CNAG_00031_TDY1310_rep1	SRR33678603	delta_CNAG_00031_TDY1310	delta CNAG_00031
delta_CNAG_00031_TDY1310_rep2	SRR33678604	delta_CNAG_00031_TDY1310	delta CNAG_00031
delta_CNAG_00031_TDY1310_rep3	SRR33678605	delta_CNAG_00031_TDY1310	delta CNAG_00031
delta_CNAG_03849_TDY1316_rep1	SRR33678894	delta_CNAG_03849_TDY1316	delta CNAG_03849
delta_CNAG_03849_TDY1316_rep2	SRR33678895	delta_CNAG_03849_TDY1316	delta CNAG_03849
delta_CNAG_03849_TDY1316_rep3	SRR33678896	delta_CNAG_03849_TDY1316	delta CNAG_03849
delta_CNAG_05420_TDY1319_rep1	SRR33678488	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep2	SRR33678489	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep3	SRR33678490	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep4	SRR33678491	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep5	SRR33678492	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep6	SRR33678493	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep7	SRR33678851	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep8	SRR33678852	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep9	SRR33678853	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep10	SRR33678854	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep11	SRR33678855	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep12	SRR33678856	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep13	SRR33678857	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep14	SRR33678858	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_05420_TDY1319_rep15	SRR33678859	delta_CNAG_05420_TDY1319	delta CNAG_05420
delta_CNAG_03018_TDY1325_rep1	SRR33678556	delta_CNAG_03018_TDY1325	delta CNAG_03018
delta_CNAG_03018_TDY1325_rep2	SRR33678557	delta_CNAG_03018_TDY1325	delta CNAG_03018
delta_CNAG_03279_TDY1326_rep1	SRR33679073	delta_CNAG_03279_TDY1326	delta CNAG_03279
delta_CNAG_03279_TDY1326_rep2	SRR33679074	delta_CNAG_03279_TDY1326	delta CNAG_03279
delta_CNAG_03279_TDY1326_rep3	SRR33679075	delta_CNAG_03279_TDY1326	delta CNAG_03279
delta_CNAG_02774_TDY1335_rep1	SRR33678562	delta_CNAG_02774_TDY1335	delta CNAG_02774
delta_CNAG_02774_TDY1335_rep2	SRR33678563	delta_CNAG_02774_TDY1335	delta CNAG_02774
delta_CNAG_02774_TDY1335_rep3	SRR33678564	delta_CNAG_02774_TDY1335	delta CNAG_02774
delta_CNAG_06252_TDY1338_rep1	SRR33679008	delta_CNAG_06252_TDY1338	delta CNAG_06252
delta_CNAG_06252_TDY1338_rep2	SRR33679009	delta_CNAG_06252_TDY1338	delta CNAG_06252
delta_CNAG_06252_TDY1338_rep3	SRR33679010	delta_CNAG_06252_TDY1338	delta CNAG_06252
delta_CNAG_06252_TDY1338_rep4	SRR33679011	delta_CNAG_06252_TDY1338	delta CNAG_06252
delta_CNAG_06252_TDY1338_rep5	SRR33679012	delta_CNAG_06252_TDY1338	delta CNAG_06252
delta_CNAG_03894_TDY1441_rep1	SRR33678892	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep2	SRR33678893	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep3	SRR33679062	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep4	SRR33679063	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep5	SRR33679064	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep6	SRR33679065	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep7	SRR33679066	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep8	SRR33679067	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_03894_TDY1441_rep9	SRR33679068	delta_CNAG_03894_TDY1441	delta CNAG_03894
delta_CNAG_05861_TDY1445_rep1	SRR33678665	delta_CNAG_05861_TDY1445	delta CNAG_05861
delta_CNAG_05861_TDY1445_rep2	SRR33678666	delta_CNAG_05861_TDY1445	delta CNAG_05861
delta_CNAG_04353_TDY1448_rep1	SRR33678884	delta_CNAG_04353_TDY1448	delta CNAG_04353
delta_CNAG_04353_TDY1448_rep2	SRR33678885	delta_CNAG_04353_TDY1448	delta CNAG_04353
delta_CNAG_04353_TDY1448_rep3	SRR33678886	delta_CNAG_04353_TDY1448	delta CNAG_04353
delta_CNAG_01438_TDY1451_rep1	SRR33679106	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep2	SRR33679107	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep3	SRR33679108	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep4	SRR33679109	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep5	SRR33679110	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep6	SRR33679111	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep7	SRR33679112	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep8	SRR33679113	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_01438_TDY1451_rep9	SRR33679114	delta_CNAG_01438_TDY1451	delta CNAG_01438
delta_CNAG_02566_TDY1452_rep1	SRR33678743	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep2	SRR33678744	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep3	SRR33678745	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep4	SRR33678746	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep5	SRR33678747	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep6	SRR33679085	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep7	SRR33679086	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep8	SRR33679087	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep9	SRR33679088	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep10	SRR33679089	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_02566_TDY1452_rep11	SRR33679090	delta_CNAG_02566_TDY1452	delta CNAG_02566
delta_CNAG_00332_TDY1514_rep1	SRR33679128	delta_CNAG_00332_TDY1514	delta CNAG_00332
delta_CNAG_00332_TDY1514_rep2	SRR33679129	delta_CNAG_00332_TDY1514	delta CNAG_00332
delta_CNAG_00332_TDY1514_rep3	SRR33679130	delta_CNAG_00332_TDY1514	delta CNAG_00332
delta_CNAG_00332_TDY1514_rep4	SRR33679131	delta_CNAG_00332_TDY1514	delta CNAG_00332
delta_CNAG_00896_TDY1517_rep1	SRR33678947	delta_CNAG_00896_TDY1517	delta CNAG_00896
delta_CNAG_00896_TDY1517_rep2	SRR33678948	delta_CNAG_00896_TDY1517	delta CNAG_00896
delta_CNAG_00896_TDY1517_rep3	SRR33678949	delta_CNAG_00896_TDY1517	delta CNAG_00896
delta_CNAG_00896_TDY1517_rep4	SRR33678950	delta_CNAG_00896_TDY1517	delta CNAG_00896
delta_CNAG_00896_TDY1517_rep5	SRR33678951	delta_CNAG_00896_TDY1517	delta CNAG_00896
delta_CNAG_01708_TDY1528_rep1	SRR33678754	delta_CNAG_01708_TDY1528	delta CNAG_01708
delta_CNAG_01708_TDY1528_rep2	SRR33678755	delta_CNAG_01708_TDY1528	delta CNAG_01708
delta_CNAG_01708_TDY1528_rep3	SRR33678756	delta_CNAG_01708_TDY1528	delta CNAG_01708
delta_CNAG_01708_TDY1528_rep4	SRR33678757	delta_CNAG_01708_TDY1528	delta CNAG_01708
delta_CNAG_00156_TDY1700_rep1	SRR33678960	delta_CNAG_00156_TDY1700	delta CNAG_00156
delta_CNAG_00156_TDY1700_rep2	SRR33678961	delta_CNAG_00156_TDY1700	delta CNAG_00156
delta_CNAG_00156_TDY1700_rep3	SRR33678962	delta_CNAG_00156_TDY1700	delta CNAG_00156
delta_CNAG_00156_TDY1700_rep4	SRR33678963	delta_CNAG_00156_TDY1700	delta CNAG_00156
delta_CNAG_06156_TDY1936_rep1	SRR33678484	delta_CNAG_06156_TDY1936	delta CNAG_06156
delta_CNAG_06156_TDY1936_rep2	SRR33678485	delta_CNAG_06156_TDY1936	delta CNAG_06156
delta_CNAG_06156_TDY1936_rep3	SRR33678486	delta_CNAG_06156_TDY1936	delta CNAG_06156
delta_CNAG_06156_TDY1936_rep4	SRR33678487	delta_CNAG_06156_TDY1936	delta CNAG_06156
delta_CNAG_05436_TDY1939_rep1	SRR33679016	delta_CNAG_05436_TDY1939	delta CNAG_05436
delta_CNAG_05436_TDY1939_rep2	SRR33679017	delta_CNAG_05436_TDY1939	delta CNAG_05436
delta_CNAG_05436_TDY1939_rep3	SRR33679018	delta_CNAG_05436_TDY1939	delta CNAG_05436
delta_CNAG_05436_TDY1939_rep4	SRR33679019	delta_CNAG_05436_TDY1939	delta CNAG_05436
delta_CNAG_05436_TDY1939_rep5	SRR33679020	delta_CNAG_05436_TDY1939	delta CNAG_05436
delta_CNAG_00068_TDY1945_rep1	SRR33678964	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep2	SRR33678965	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep3	SRR33678966	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep4	SRR33678967	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep5	SRR33678968	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep6	SRR33678969	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_00068_TDY1945_rep7	SRR33678970	delta_CNAG_00068_TDY1945	delta CNAG_00068
delta_CNAG_03115_TDY1948_rep1	SRR33678911	delta_CNAG_03115_TDY1948	delta CNAG_03115
delta_CNAG_03115_TDY1948_rep2	SRR33678912	delta_CNAG_03115_TDY1948	delta CNAG_03115
delta_CNAG_03115_TDY1948_rep3	SRR33678913	delta_CNAG_03115_TDY1948	delta CNAG_03115
delta_CNAG_03212_TDY1951_rep1	SRR33679076	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep2	SRR33679077	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep3	SRR33679078	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep4	SRR33679079	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep5	SRR33679080	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep6	SRR33679081	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03212_TDY1951_rep7	SRR33679082	delta_CNAG_03212_TDY1951	delta CNAG_03212
delta_CNAG_03710_TDY1954_rep1	SRR33678536	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep2	SRR33678537	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep3	SRR33678903	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep4	SRR33678904	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep5	SRR33678905	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep6	SRR33678906	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_03710_TDY1954_rep7	SRR33678907	delta_CNAG_03710_TDY1954	delta CNAG_03710
delta_CNAG_07528_TDY1957_rep1	SRR33679000	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep2	SRR33679165	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep3	SRR33679166	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep4	SRR33679167	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep5	SRR33679168	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep6	SRR33679169	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep7	SRR33679170	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_07528_TDY1957_rep8	SRR33679171	delta_CNAG_07528_TDY1957	delta CNAG_07528
delta_CNAG_03115_TDY1970_rep1	SRR33678914	delta_CNAG_03115_TDY1970	delta CNAG_03115
delta_CNAG_03115_TDY1970_rep2	SRR33678915	delta_CNAG_03115_TDY1970	delta CNAG_03115
delta_CNAG_03115_TDY1970_rep3	SRR33678916	delta_CNAG_03115_TDY1970	delta CNAG_03115
delta_CNAG_05392_TDY1975_rep1	SRR33678494	delta_CNAG_05392_TDY1975	delta CNAG_05392
delta_CNAG_05392_TDY1975_rep2	SRR33678495	delta_CNAG_05392_TDY1975	delta CNAG_05392
delta_CNAG_05392_TDY1975_rep3	SRR33678496	delta_CNAG_05392_TDY1975	delta CNAG_05392
delta_CNAG_05392_TDY1975_rep4	SRR33678497	delta_CNAG_05392_TDY1975	delta CNAG_05392
delta_CNAG_05392_TDY1975_rep5	SRR33678498	delta_CNAG_05392_TDY1975	delta CNAG_05392
delta_CNAG_06134_TDY1978_rep1	SRR33678656	delta_CNAG_06134_TDY1978	delta CNAG_06134
delta_CNAG_06134_TDY1978_rep2	SRR33679181	delta_CNAG_06134_TDY1978	delta CNAG_06134
delta_CNAG_06134_TDY1978_rep3	SRR33679182	delta_CNAG_06134_TDY1978	delta CNAG_06134
delta_CNAG_06134_TDY1978_rep4	SRR33679183	delta_CNAG_06134_TDY1978	delta CNAG_06134
delta_CNAG_06134_TDY1978_rep5	SRR33679184	delta_CNAG_06134_TDY1978	delta CNAG_06134
delta_CNAG_00841_TDY1984_rep1	SRR33678586	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep2	SRR33678587	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep3	SRR33678588	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep4	SRR33678589	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep5	SRR33678590	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep6	SRR33678591	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_00841_TDY1984_rep7	SRR33678592	delta_CNAG_00841_TDY1984	delta CNAG_00841
delta_CNAG_02364_TDY2004_rep1	SRR33678926	delta_CNAG_02364_TDY2004	delta CNAG_02364
delta_CNAG_02364_TDY2004_rep2	SRR33678927	delta_CNAG_02364_TDY2004	delta CNAG_02364
delta_CNAG_02364_TDY2004_rep3	SRR33678928	delta_CNAG_02364_TDY2004	delta CNAG_02364
delta_CNAG_02364_TDY2004_rep4	SRR33678929	delta_CNAG_02364_TDY2004	delta CNAG_02364
delta_CNAG_06339_TDY2024_rep5	SRR33678837	delta_CNAG_06339_TDY2024	delta CNAG_06339
delta_CNAG_06339_TDY2024_rep6	SRR33678838	delta_CNAG_06339_TDY2024	delta CNAG_06339
delta_CNAG_01948_TDY2098_rep1	SRR33678576	delta_CNAG_01948_TDY2098	delta CNAG_01948
delta_CNAG_01948_TDY2098_rep2	SRR33678577	delta_CNAG_01948_TDY2098	delta CNAG_01948
delta_CNAG_01948_TDY2098_rep3	SRR33678578	delta_CNAG_01948_TDY2098	delta CNAG_01948
delta_CNAG_01948_TDY2098_rep4	SRR33678579	delta_CNAG_01948_TDY2098	delta CNAG_01948
delta_CNAG_01948_TDY2098_rep5	SRR33678580	delta_CNAG_01948_TDY2098	delta CNAG_01948
delta_CNAG_00193_TDY2099_rep1	SRR33678956	delta_CNAG_00193_TDY2099	delta CNAG_00193
delta_CNAG_00193_TDY2099_rep2	SRR33678957	delta_CNAG_00193_TDY2099	delta CNAG_00193
delta_CNAG_00193_TDY2099_rep3	SRR33678958	delta_CNAG_00193_TDY2099	delta CNAG_00193
delta_CNAG_00193_TDY2099_rep4	SRR33678959	delta_CNAG_00193_TDY2099	delta CNAG_00193
delta_CNAG_00193_TDY2099_rep5	SRR33679132	delta_CNAG_00193_TDY2099	delta CNAG_00193
delta_CNAG_01069_TDY2100_rep1	SRR33678940	delta_CNAG_01069_TDY2100	delta CNAG_01069
delta_CNAG_01069_TDY2100_rep2	SRR33678941	delta_CNAG_01069_TDY2100	delta CNAG_01069
delta_CNAG_01069_TDY2100_rep3	SRR33678942	delta_CNAG_01069_TDY2100	delta CNAG_01069
delta_CNAG_01069_TDY2100_rep4	SRR33679115	delta_CNAG_01069_TDY2100	delta CNAG_01069
delta_CNAG_01069_TDY2100_rep5	SRR33679116	delta_CNAG_01069_TDY2100	delta CNAG_01069
delta_CNAG_01454_TDY2101_rep1	SRR33679102	delta_CNAG_01454_TDY2101	delta CNAG_01454
delta_CNAG_01454_TDY2101_rep2	SRR33679103	delta_CNAG_01454_TDY2101	delta CNAG_01454
delta_CNAG_01454_TDY2101_rep3	SRR33679104	delta_CNAG_01454_TDY2101	delta CNAG_01454
delta_CNAG_01454_TDY2101_rep4	SRR33679105	delta_CNAG_01454_TDY2101	delta CNAG_01454
delta_CNAG_02066_TDY2102_rep1	SRR33678568	delta_CNAG_02066_TDY2102	delta CNAG_02066
delta_CNAG_02066_TDY2102_rep2	SRR33678569	delta_CNAG_02066_TDY2102	delta CNAG_02066
delta_CNAG_02066_TDY2102_rep3	SRR33678570	delta_CNAG_02066_TDY2102	delta CNAG_02066
delta_CNAG_02066_TDY2102_rep4	SRR33678571	delta_CNAG_02066_TDY2102	delta CNAG_02066
delta_CNAG_02066_TDY2102_rep5	SRR33678939	delta_CNAG_02066_TDY2102	delta CNAG_02066
delta_CNAG_02322_TDY2103_rep1	SRR33678930	delta_CNAG_02322_TDY2103	delta CNAG_02322
delta_CNAG_02322_TDY2103_rep2	SRR33678931	delta_CNAG_02322_TDY2103	delta CNAG_02322
delta_CNAG_02322_TDY2103_rep3	SRR33678932	delta_CNAG_02322_TDY2103	delta CNAG_02322
delta_CNAG_02322_TDY2103_rep4	SRR33678933	delta_CNAG_02322_TDY2103	delta CNAG_02322
delta_CNAG_02322_TDY2103_rep5	SRR33678934	delta_CNAG_02322_TDY2103	delta CNAG_02322
delta_CNAG_02516_TDY2104_rep1	SRR33679091	delta_CNAG_02516_TDY2104	delta CNAG_02516
delta_CNAG_02516_TDY2104_rep2	SRR33679092	delta_CNAG_02516_TDY2104	delta CNAG_02516
delta_CNAG_02516_TDY2104_rep3	SRR33679093	delta_CNAG_02516_TDY2104	delta CNAG_02516
delta_CNAG_02516_TDY2104_rep4	SRR33679094	delta_CNAG_02516_TDY2104	delta CNAG_02516
delta_CNAG_02603_TDY2105_rep5	SRR33678738	delta_CNAG_02603_TDY2105	delta CNAG_02603
delta_CNAG_02603_TDY2105_rep1	SRR33678739	delta_CNAG_02603_TDY2105	delta CNAG_02603
delta_CNAG_02603_TDY2105_rep2	SRR33678740	delta_CNAG_02603_TDY2105	delta CNAG_02603
delta_CNAG_02603_TDY2105_rep3	SRR33678741	delta_CNAG_02603_TDY2105	delta CNAG_02603
delta_CNAG_02603_TDY2105_rep4	SRR33678742	delta_CNAG_02603_TDY2105	delta CNAG_02603
delta_CNAG_02723_TDY2106_rep1	SRR33678565	delta_CNAG_02723_TDY2106	delta CNAG_02723
delta_CNAG_02723_TDY2106_rep2	SRR33678566	delta_CNAG_02723_TDY2106	delta CNAG_02723
delta_CNAG_02723_TDY2106_rep3	SRR33678567	delta_CNAG_02723_TDY2106	delta CNAG_02723
delta_CNAG_02723_TDY2106_rep4	SRR33678732	delta_CNAG_02723_TDY2106	delta CNAG_02723
delta_CNAG_02723_TDY2106_rep5	SRR33678733	delta_CNAG_02723_TDY2106	delta CNAG_02723
delta_CNAG_02877_TDY2107_rep1	SRR33678558	delta_CNAG_02877_TDY2107	delta CNAG_02877
delta_CNAG_02877_TDY2107_rep2	SRR33678559	delta_CNAG_02877_TDY2107	delta CNAG_02877
