project,organism full name,organism abbreviation,is_annotated genome,is_reference_strain,orthoMCL abbrev
FungiDB,Nakaseomyces glabratus CBS138 2020,cglaATCC2001CBS138,1,0,cgcb
FungiDB,Nakaseomyces glabratus BG2,cglaBG2,1,0,cglb
FungiDB,Nakaseomyces glabratus BG3993,cglaBG3993,1,0,nglb
FungiDB,Nakaseomyces glabratus CBS 138,cglaCBS138,1,1,cgla
FungiDB,Nakaseomyces glabratus DSY562,cglaDSY562,1,0,cgld
FungiDB,Chaetomium globosum CBS 148.51,cgloCBS148.51,1,1,cglo
FungiDB,Colletotrichum graminicola M1.001,cgraM1-001,1,1,cgra
FungiDB,Candida haemulonis B11899,chaeB11899,1,1,chae
FungiDB,Colletotrichum higginsianum IMI 349063,chigIMI349063,1,1,chig
FungiDB,Cladophialophora immunda strain CBS 83496,cimmCBS83496,1,1,cimc
FungiDB,Coccidioides immitis H538.4,cimmH538-4,1,0,cimh
FungiDB,Coccidioides immitis RMSCC 2394,cimmRMSCC2394,0,0,cimr
FungiDB,Coccidioides immitis RMSCC 3703,cimmRMSCC3703,0,0,cirm
FungiDB,Coccidioides immitis RS,cimmRS,1,1,cimm
FungiDB,Coccidioides immitis WA_211,cimmWA_211,1,0,cimw
FungiDB,Cercospora kikuchii MAFF 305040,ckikMAFF305040,1,1,ckik
FungiDB,Clavispora lusitaniae ATCC 42720,clusATCC42720,1,1,clus
FungiDB,Candida metapsilosis BP57,cmetBP57,1,1,cmet
FungiDB,Cordyceps militaris ATCC 34164,cmilATCC34164,1,1,cmil
FungiDB,Cordyceps militaris CM01,cmilCM01,1,0,cmcm
FungiDB,Cryptococcus deneoformans B-3501A,cneoB-3501A,1,0,cnep
FungiDB,Cryptococcus neoformans H99,cneoH99,1,1,cneq
FungiDB,Cryptococcus neoformans H99 2018,cneoH992018,0,0,cngh
FungiDB,Cryptococcus deneoformans JEC21,cneoJEC21,1,1,cneo
FungiDB,Cryptococcus neoformans KN99,cneoKN99,1,0,cnek
FungiDB,Cryptococcus neoformans strain:VNII,cneoVNII,1,0,cnev
FungiDB,Cryptococcus deneoformans XL280,cneoXL280,0,0,cnex
FungiDB,Candida parapsilosis CDC317,cparCDC317,1,1,cpac
FungiDB,Coccidioides posadasii C735 delta SOWgp,cposC735deltSOWgp,1,0,cpos
FungiDB,Coccidioides posadasii CPA 0001,cposCPA0001,0,0,cpca
FungiDB,Coccidioides posadasii CPA 0020,cposCPA0020,0,0,cpcb
FungiDB,Coccidioides posadasii CPA 0066,cposCPA0066,0,0,cpcp
FungiDB,Coccidioides posadasii RMSCC 1037,cposRMSCC1037,0,0,cpra
FungiDB,Coccidioides posadasii RMSCC 1038,cposRMSCC1038,0,0,cprb
FungiDB,Coccidioides posadasii RMSCC 2133,cposRMSCC2133,0,0,cprc
FungiDB,Coccidioides posadasii RMSCC 3488,cposRMSCC3488,1,0,cprm
FungiDB,Coccidioides posadasii RMSCC 3700,cposRMSCC3700,0,0,cprd
FungiDB,Coccidioides posadasii str. Silveira,cposSilveira,1,1,cpsi
FungiDB,Coccidioides posadasii strain Silveira 2022,cposSilveira2022,1,0,cpsl
FungiDB,Cladophialophora psammophila CBS 110553,cpsaCBS110553,1,1,cpsa
FungiDB,Candida pseudohaemulonii strain B12108,cpseB12108,1,1,cpse
FungiDB,Claviceps purpurea 20.1,cpur20.1,1,1,cpur
